Symbol,Company Name
FLR,Fluor Corporation Common Stock
WTS,Watts Water Technologies Inc. Class A Common Stock
JOBY,Joby Aviation Inc. Common Stock
DCI,Donaldson Company Inc. Common Stock
AGCO,AGCO Corporation Common Stock
SPXC,SPX Technologies Inc. Common Stock
AA,Alcoa Corporation Common Stock 
MIDD,Middleby Corporation (The) Common Stock
GTLS,Chart Industries Inc. Common Stock
ALB,Albemarle Corporation Common Stock
TFII,TFI International Inc. Common Shares
SAIA,Saia Inc. Common Stock
KNX,Knight-Swift Transportation Holdings Inc.
LOAR,Loar Holdings Inc. Common Stock
ESAB,ESAB Corporation Common Stock
LLYVK,Liberty Media Corporation Series C Liberty Live Common Stock
LLYVA,Liberty Media Corporation Series A Liberty Live Common Stock
AWI,Armstrong World Industries Inc Common Stock
DY,Dycom Industries Inc. Common Stock
FLS,Flowserve Corporation Common Stock
STRL,Sterling Infrastructure Inc. Common Stock
BMI,Badger Meter Inc. Common Stock
MKSI,MKS Inc. Common Stock
EXP,Eagle Materials Inc Common Stock
NEU,NewMarket Corp Common Stock
VMI,Valmont Industries Inc. Common Stock
KTOS,Kratos Defense & Security Solutions Inc. Common Stock
BIO,Bio-Rad Laboratories Inc. Class A Common Stock
CE,Celanese Corporation Common Stock
JBTM,JBT Marel Corporation Common Stock
GGB,Gerdau S.A. Common Stock
BRKR,Bruker Corporation Common Stock
TX,Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares USD1.00 par value)
ZWS,Zurn Elkay Water Solutions Corporation Common Stock
GTES,Gates Industrial Corporation plc Ordinary Shares
ITRI,Itron Inc. Common Stock
KBR,KBR Inc. Common Stock
AAON,AAON Inc. Common Stock
IESC,IES Holdings Inc. Common Stock
ROAD,Construction Partners Inc. Class A Common Stock
SLGN,Silgan Holdings Inc. Common Stock
KRMN,Karman Holdings Inc. Common Stock
CMC,Commercial Metals Company Common Stock
ESI,Element Solutions Inc. Common Stock
VNT,Vontier Corporation Common Stock 
ACHR,Archer Aviation Inc. Class A Common Stock
FMC,FMC Corporation Common Stock
NXST,Nexstar Media Group Inc. Common Stock
CGNX,Cognex Corporation Common Stock
BCPC,Balchem Corporation Common Stock
TKR,Timken Company (The) Common Stock
WSC,WillScot Holdings Corporation Class A Common Stock
LSTR,Landstar System Inc. Common Stock
ONTO,Onto Innovation Inc. Common Stock
VVV,Valvoline Inc. Common Stock
MSM,MSC Industrial Direct Company Inc. Common Stock
CHX,ChampionX Corporation Common Stock 
THO,Thor Industries Inc. Common Stock
CSW,CSW Industrials Inc. Common Stock
NOV,NOV Inc. Common Stock
TFPM,Triple Flag Precious Metals Corp. Common Shares
BDC,Belden Inc Common Stock
MIR,Mirion Technologies Inc. Class A Common Stock
SEE,Sealed Air Corporation Common Stock
ST,Sensata Technologies Holding plc Ordinary Shares
HXL,Hexcel Corporation Common Stock
SXT,Sensient Technologies Corporation Common Stock
PRIM,Primoris Services Corporation Common Stock
KNF,Knife Riv Holding Co. Common Stock
SPR,Spirit Aerosystems Holdings Inc. Common Stock
SNDR,Schneider National Inc. Common Stock
TV,Grupo Televisa S.A.B. Common Stock
ACA,Arcosa Inc. Common Stock 
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares
NPO,Enpro Inc. Common Stock
CBT,Cabot Corporation Common Stock
HRI,Herc Holdings Inc. Common Stock 
GVA,Granite Construction Incorporated Common Stock
SMG,Scotts Miracle-Gro Company (The) Common Stock
WFRD,Weatherford International plc Ordinary Shares
BC,Brunswick Corporation Common Stock
KAI,Kadant Inc Common Stock
MWA,MUELLER WATER PRODUCTS Common Stock
HL,Hecla Mining Company Common Stock
GFF,Griffon Corporation Common Stock
WHD,Cactus Inc. Class A Common Stock
REZI,Resideo Technologies Inc. Common Stock 
MDU,MDU Resources Group Inc. Common Stock (Holding Company)
FUL,H. B. Fuller Company Common Stock
TEX,Terex Corporation Common Stock
WOR,Worthington Enterprises Inc. Common Shares
CXT,Crane NXT Co. Common Stock
ATS,ATS Corporation Common Shares
WDFC,WD-40 Company Common Stock
AVNT,Avient Corporation Common Stock
HAYW,Hayward Holdings Inc. Common Stock
USLM,United States Lime & Minerals Inc. Common Stock
AZZ,AZZ Inc.
MYRG,MYR Group Inc. Common Stock
SEB,Seaboard Corporation Common Stock
HSAI,Hesai Group American Depositary Share each ADS represents one Class B ordinary share
LEU,Centrus Energy Corp. Class A Common Stock
PCTTU,PureCycle Technologies Inc. Unit
TGNA,TEGNA Inc
FTAIM,FTAI Aviation Ltd. 9.500% Fixed-Rate Reset Series D Cumulative Perpetual Redeemable Preferred Shares
ALG,Alamo Group Inc. Common Stock
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
SSRM,SSR Mining Inc. Common Stock
POWWP,Outdoor Holding Company 8.75% Series A Cumulative Redeemable Perpetual Preferred Stock
FTAIN,FTAI Aviation Ltd. 8.25% Fixed - Rate Reset Series C Cumulative Perpetual Redeemable Preferred Shares
AIR,AAR Corp. Common Stock
OLN,Olin Corporation Common Stock
PCT,PureCycle Technologies Inc. Common stock
NWL,Newell Brands Inc. Common Stock
TRN,Trinity Industries Inc. Common Stock
VOYG,Voyager Technologies Inc. Class A Common Stock
TTAM,Titan America SA Common Shares
MEOH,Methanex Corporation Common Stock
PRM,Perimeter Solutions SA Common Stock
IOSP,Innospec Inc. Common Stock
SEI,Solaris Energy Infrastructure Inc. Class A Common Stock
KWR,Quaker Houghton Common Stock
EVEX,Eve Holding Inc. Common Stock
NN,NextNav Inc. Common Stock
CSTM,Constellium SE Ordinary Shares (France)
SID,Companhia Siderurgica Nacional S.A. Common Stock
SXI,Standex International Corporation Common Stock
TGI,Triumph Group Inc. Common Stock
BWSN,Babcock & Wilcox Enterprises Inc. 8.125% Senior Notes due 2026
CC,Chemours Company (The) Common Stock
HUN,Huntsman Corporation Common Stock
NMAX,Newsmax Inc. Class B Common Stock
LUNR,Intuitive Machines Inc. Class A Common Stock
ARCB,ArcBest Corporation Common Stock
MTX,Minerals Technologies Inc. Common Stock
KMT,Kennametal Inc. Common Stock
ROCK,Gibraltar Industries Inc. Common Stock
PSIX,Power Solutions International Inc. Common Stock
WERN,Werner Enterprises Inc. Common Stock
MTRN,Materion Corporation
GBX,Greenbrier Companies Inc. (The) Common Stock
CENX,Century Aluminum Company Common Stock
AESI,Atlas Energy Solutions Inc. Common Stock
NGVT,Ingevity Corporation Common Stock 
FLOC,Flowco Holdings Inc. Class A Common Stock
WS,Worthington Steel Inc. Common Shares
LNN,Lindsay Corporation Common Stock
TXG,10x Genomics Inc. Class A Common Stock
BWNB,Babcock & Wilcox Enterprises Inc. 6.50% Senior Notes due 2026
BAK,Braskem SA ADR
TNC,Tennant Company Common Stock
DNOW,DNOW Inc. Common Stock
UVV,Universal Corporation Common Stock
DXPE,DXP Enterprises Inc. Common Stock
KALU,Kaiser Aluminum Corporation Common Stock
ROG,Rogers Corporation Common Stock
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS
ANDE,Andersons Inc. (The) Common Stock
UUUU,Energy Fuels Inc Ordinary Shares (Canada)
DCO,Ducommun Incorporated Common Stock
JBI,Janus International Group Inc. Common Stock
RDW,Redwire Corporation Common Stock
EH,EHang Holdings Limited ADS
OUST,Ouster Inc. Common Stock
TRS,TriMas Corporation Common Stock
HLIO,Helios Technologies Inc. Common Stock
ATRO,Astronics Corporation Common Stock
MRC,MRC Global Inc. Common Stock
MRTN,Marten Transport Ltd. Common Stock
INVX,Innovex International Inc. Common Stock
XPEL,XPEL Inc. Common Stock
GIC,Global Industrial Company Common Stock
CECO,CECO Environmental Corp. Common Stock
SBGI,Sinclair Inc. Class A Common Stock
GRC,Gorman-Rupp Company (The) Common Stock
EFXT,Enerflex Ltd Common Shares
ECVT,Ecovyst Inc. Common Stock
PRLB,Proto Labs Inc. Common stock
ASTE,Astec Industries Inc. Common Stock
COHU,Cohu Inc. Common Stock
NX,Quanex Building Products Corporation Common Stock
UAN,CVR Partners LP Common Units representing Limited Partner Interests
CMP,Compass Minerals Intl Inc Common Stock
CYD,China Yuchai International Limited Common Stock
KRNT,Kornit Digital Ltd. Ordinary Shares
TROX,Tronox Holdings plc Ordinary Shares (UK)
WGO,Winnebago Industries Inc. Common Stock
REX,REX American Resources Corporation
NNAVW,NextNav Inc. Warrant
FARO,FARO Technologies Inc. Common Stock
TRNS,Transcat Inc. Common Stock
PLPC,Preformed Line Products Company Common Stock
MOBBW,Mobilicom Limited Warrants
GLDD,Great Lakes Dredge & Dock Corporation Common Stock
SWIM,Latham Group Inc. Common Stock
WLKP,Westlake Chemical Partners LP Common Units representing limited partner interests
NPK,National Presto Industries Inc. Common Stock
IIIN,Insteel Industries Inc. Common Stock
ULH,Universal Logistics Holdings Inc. Common Stock
RYI,Ryerson Holding Corporation Common Stock
HY,Hyster-Yale Inc. Class A common stock
KRO,Kronos Worldwide Inc Common Stock
NPKI,NPK International Inc. Common Stock
ASTL,Algoma Steel Group Inc. Common Shares
SXC,SunCoke Energy Inc. Common Stock
PCTTW,PureCycle Technologies Inc. Warrant
PLOW,Douglas Dynamics Inc. Common Stock
HTLD,Heartland Express Inc. Common Stock
STKL,SunOpta Inc. Common Stock
MTUS,Metallus Inc. Common Shares
CVLG,Covenant Logistics Group Inc. Class A Common Stock
TWI,Titan International Inc. (DE) Common Stock
ASIX,AdvanSix Inc. Common Stock 
EYPT,EyePoint Pharmaceuticals Inc. Common Stock
MBUU,Malibu Boats Inc. Class A Common Stock
ALNT,Allient Inc. Common Stock
OEC,Orion S.A. Common Shares
ASA,ASA  Gold and Precious Metals Limited
RGR,Sturm Ruger & Company Inc. Common Stock
EVTL,Vertical Aerospace Ltd. Ordinary Shares
LXU,LSB Industries Inc. Common Stock
KRT,Karat Packaging Inc. Common Stock
MYE,Myers Industries Inc. Common Stock
GHM,Graham Corporation Common Stock
MLAB,Mesa Laboratories Inc. Common Stock
AMRK,A-Mark Precious Metals Inc. Common Stock
AIRO,AIRO Group Holdings Inc. Common Stock
ASPI,ASP Isotopes Inc. Common Stock
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares)
LAB,Standard BioTools Inc. Common Stock
VHI,Valhi Inc. Common Stock
GTN,Gray Media Inc. Common Stock
IPI,Intrepid Potash Inc Common Stock
WNC,Wabash National Corporation Common Stock
PACB,Pacific Biosciences of California Inc. Common Stock
CTKB,Cytek Biosciences Inc. Common Stock
CMCO,Columbus McKinnon Corporation Common Stock
AEHR,Aehr Test Systems Common Stock
MTW,Manitowoc Company Inc. (The) Common Stock
GPRE,Green Plains Inc. Common Stock
FTK,Flotek Industries Inc. Common Stock
SLI,Standard Lithium Ltd. Common Shares
NWPX,NWPX Infrastructure Inc. Common Stock
SWBI,Smith & Wesson Brands Inc. Common Stock
QSI,Quantum-Si Incorporated Class A Common Stock
ZEUS,Olympic Steel Inc. Common Stock
ORN,Orion Group Holdings Inc. Common
TSAT,Telesat Corporation Class A Common Shares and Class B Variable Voting Shares 
OFLX,Omega Flex Inc. Common Stock
GEVO,Gevo Inc. Common Stock
OIS,Oil States International Inc. Common Stock
AZ,A2Z Cust2Mate Solutions Corp. Common Shares
MEC,Mayville Engineering Company Inc. Common Stock
TATT,TAT Technologies Ltd. Ordinary Shares
CHSCP,CHS Inc. 8%  Cumulative Redeemable Preferred Stock
GAU,Galiano Gold Inc.
LXFR,Luxfer Holdings PLC Ordinary Shares
MCFT,MasterCraft Boat Holdings Inc. Common Stock
CUB,Lionheart Holdings Class A Ordinary Shares
AIRJ,AirJoule Technologies Corporation Class A Common Stock
SENS,Senseonics Holdings Inc. Common Stock
MSB,Mesabi Trust Common Stock
TG,Tredegar Corporation Common Stock
NL,NL Industries Inc. Common Stock
CHSCO,CHS Inc. Class B Cumulative Redeemable Preferred Stock
MPX,Marine Products Corporation Common Stock
CHSCL,CHS Inc Class B Cumulative Redeemable Preferred Stock Series 4
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares
OMSE,OMS Energy Technologies Inc. Ordinary Shares
PAMT,PAMT CORP Common Stock
PKE,Park Aerospace Corp. Common Stock
CHSCN,CHS Inc Preferred Class B Series 2 Reset Rate
CHSCM,CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock Series 3
SSP,E.W. Scripps Company (The) Class A Common Stock
PKOH,Park-Ohio Holdings Corp. Common Stock
QTRX,Quanterix Corporation Common Stock
UAMY,United States Antimony Corporation Common Stock
AMBI,Ambipar Emergency Response Class A Ordinary Shares
FSTR,L.B. Foster Company Common Stock
ALTG,Alta Equipment Group Inc. Class A Common Stock
SAFX,XCF Global Inc. Class A Common Stock
ARQ,Arq Inc. Common Stock
SLND,Southland Holdings Inc. Common Stock
FET,Forum Energy Technologies Inc. Common Stock
MASS,908 Devices Inc. Common Stock
ZJK,ZJK Industrial Co. Ltd. Ordinary Shares
CDXS,Codexis Inc. Common Stock
FLX,BingEx Limited American Depositary Shares
RR,Richtech Robotics Inc. Class B Common Stock
EVC,Entravision Communications Corporation Common Stock
GENC,Gencor Industries Inc. Common Stock
TGEN,Tecogen Inc. Common Stock
FEIM,Frequency Electronics Inc. Common Stock
PESI,Perma-Fix Environmental Services Inc. Common Stock
PPIH,Perma-Pipe International Holdings Inc. Common Stock
SMID,Smith-Midland Corporation Common Stock
SORA,Top Win International Limited Ordinary Shares
FF,FutureFuel Corp.  Common shares
GEOS,Geospace Technologies Corporation Common Stock (Texas)
ESOA,Energy Services of America Corporation Common Stock
BOOM,DMC Global Inc. Common Stock
RAIL,FreightCar America Inc. Common Stock
AMTX,Aemetis Inc. (DE) Common Stock
KEQU,Kewaunee Scientific Corporation Common Stock
LWLG,Lightwave Logic Inc. Common Stock
VGAS,Verde Clean Fuels Inc. Class A Common Stock
IONR,ioneer Ltd American Depositary Shares
RPID,Rapid Micro Biosystems Inc. Class A Common Stock
CMT,Core Molding Technologies Inc Common Stock
POWW,Outdoor Holding Company Common Stock
PLL,Piedmont Lithium Inc. Common Stock
OWLT,Owlet Inc. Class A Common Stock
TAYD,Taylor Devices Inc. Common Stock
TWIN,Twin Disc Incorporated Common Stock
SEER,Seer Inc. Class A Common Stock
HURC,Hurco Companies Inc. Common Stock
NAUT,Nautilus Biotechnolgy Inc. Common Stock
QSIAW,Quantum-Si Incorporated Warrant
ACNT,Ascent Industries Co. Common Stock
ATLN,Atlantic International Corp. Common Stock
FRD,Friedman Industries Inc. Common Stock
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value)
NNBR,NN Inc. Common Stock
ZTEK,Zentek Ltd. Common Stock
TSE,Trinseo PLC Ordinary Shares 
GIFI,Gulf Island Fabrication Inc. Common Stock
LODE,Comstock Inc. Common Stock
DTI,Drilling Tools International Corporation Common Stock
LSE,Leishen Energy Holding Co. Ltd. Ordinary Shares
BW,Babcock & Wilcox Enterprises Inc. Common Stock
ALTO,Alto Ingredients Inc. Common Stock
CODA,Coda Octopus Group Inc. Common stock
INTT,inTest Corporation Common Stock
LGO,Largo Inc. Common Shares
ORGN,Origin Materials Inc. Common Stock
SND,Smart Sand Inc. Common Stock
FTEK,Fuel Tech Inc. Common Stock
SFWL,Shengfeng Development Limited Class A Ordinary Shares
XCH,XCHG Limited American Depositary Share
NTIC,Northern Technologies International Corporation Common Stock
WRAP,Wrap Technologies Inc. Common Stock
YIBO,Planet Image International Limited Class A Ordinary Shares
FEAM,5E Advanced Materials Inc. Common Stock
VATE,INNOVATE Corp. Common Stock
FSI,Flexible Solutions International Inc. Common Stock (CDA)
SHIM,Shimmick Corporation Common Stock
ATLX,Atlas Lithium Corporation Common Stock
AKYA,Akoya BioSciences Inc. Common Stock
MTEN,Mingteng International Corporation Inc. Ordinary Shares
CSTE,Caesarstone Ltd. Ordinary Shares
LNZA,LanzaTech Global Inc. Common Stock
MIND,MIND Technology Inc. Common Stock (DE)
GDC,GD Culture Group Limited Common Stock
AP,Ampco-Pittsburgh Corporation Common Stock
LOOP,Loop Industries Inc. Common Stock
HLP,Hongli Group Inc. Ordinary Shares
WPRT,Westport Fuel Systems Inc Common Shares
CBUS,Cibus Inc. Class A Common Stock
GRO,Brazil Potash Corp. Common Shares
ASTLW,Algoma Steel Group Inc. Warrant
SYPR,Sypris Solutions Inc. Common Stock
AIRJW,AirJoule Technologies Corporation Warrant
HOVR,New Horizon Aircraft Ltd. Class A Ordinary Share
TPIC,TPI Composites Inc. Common Stock
DSWL,Deswell Industries Inc. Common Shares
CVU,CPI Aerostructures Inc. Common Stock
WETO,Webus International Limited Ordinary Shares
TPCS,TechPrecision Corporation Common stock
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda)
GTEC,Greenland Technologies Holding Corporation Ordinary Shares
KITT,Nauticus Robotics Inc. Common stock
PPSI,Pioneer Power Solutions Inc. Common Stock
TOPP,Toppoint Holdings Inc. Common Stock
OCC,Optical Cable Corporation Common Stock
DAIO,Data I/O Corporation Common Stock
FCUV,Focus Universal Inc. Common Stock
CLIR,ClearSign Technologies Corporation Common Stock (DE)
TRSG,Tungray Technologies Inc Class A Ordinary Shares
FENG,Phoenix New Media Limited American Depositary Shares each representing 48 Class A ordinary shares.
ENGS,Energys Group Limited Ordinary Shares
SIF,SIFCO Industries Inc. Common Stock
PRZO,ParaZero Technologies Ltd. Ordinary Shares
MOB,Mobilicom Limited American Depositary Shares
TOMZ,TOMI Environmental Solutions Inc. Common Stock
ZONE,CleanCore Solutions Inc. Class B Common Stock
STAK,STAK Inc. Class A Ordinary Shares
HXHX,Haoxin Holdings Limited Class A Ordinary Shares
DXST,Decent Holding Inc Class A Ordinary Shares
HBIO,Harvard Bioscience Inc. Common Stock
DTCK,Davis Commodities Limited Ordinary Shares
YHGJ,Yunhong Green CTI Ltd. Common Stock
NISN,NiSun International Enterprise Development Group Co. Ltd. Class A Common Shares
HUDI,Huadi International Group Co. Ltd. Ordinary Shares
STAI,ScanTech AI Systems Inc. Common stock
KNW,Know Labs Inc. Common Stock
PRPO,Precipio Inc.  Common Stock
FLYE,Fly-E Group Inc. Common Stock
RVSN,Rail Vision Ltd. Ordinary Share
RETO,ReTo Eco-Solutions Inc. Class A Shares
DPRO,Draganfly Inc. Common Shares
INLF,INLIF LIMITED Ordinary Shares
ELSE,Electro-Sensors Inc. Common Stock
ENFY,Enlightify Inc. Common Stock
NCL,Northann Corp. Common Stock
UAVS,AgEagle Aerial Systems Inc. Common Stock
SKYQ,Sky Quarry Inc. Common Stock
SDST,Stardust Power Inc. Common Stock
AIRI,Air Industries Group Common Stock
SKK,SKK Holdings Limited Ordinary Shares
CVR,Chicago Rivet & Machine Co. Common Stock
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock
GWAV,Greenwave Technology Solutions Inc. Common Stock
BNGO,Bionano Genomics Inc. Common Stock
ZKIN,ZK International Group Co. Ltd Ordinary Share
PETZ,TDH Holdings Inc. Common Shares
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares
ASTC,Astrotech Corporation (DE) Common Stock
GURE,Gulf Resources Inc. (NV) Common Stock
SNES,SenesTech Inc. Common Stock
HOVRW,New Horizon Aircraft Ltd. Warrant
EVGN,Evogene Ltd Ordinary Shares
FORD,Forward Industries Inc. Common Stock
CDTG,CDT Environmental Technology Investment Holdings Limited ordinary shares
VAPE,CEA Industries Inc. Common Stock
AREB,American Rebel Holdings Inc. Common Stock
VGASW,Verde Clean Fuels Inc. Warrant
CNEY,CN Energy Group Inc. Class A Ordinary Shares
EKSO,Ekso Bionics Holdings Inc. Common Stock
HIHO,Highway Holdings Limited Common Stock
BNRG,Brenmiller Energy Ltd Ordinary Shares
VMAR,Vision Marine Technologies Inc. Common Shares
NITO,N2OFF Inc. Common Stock
MNTS,Momentus Inc. Class A Common Stock
FGI,FGI Industries Ltd. Ordinary Shares
OUSTZ,Ouster Inc. Warrants
LNZAW,LanzaTech Global Inc. Warrant
BSLK,Bolt Projects Holdings Inc. Common Stock
INHD,Inno Holdings Inc. Common Stock
AQMS,Aqua Metals Inc. Common Stock
RVSNW,Rail Vision Ltd. Warrant
NVVE,Nuvve Holding Corp. Common Stock
VEEE,Twin Vee PowerCats Co. Common Stock
KITTW,Nauticus Robotics Inc. Warrant
TANH,Tantech Holdings Ltd. Common Shares
ORGNW,Origin Materials Inc. Warrants
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares
OUSTW,Ouster Inc. Warrants
SDSTW,Stardust Power Inc. Warrant
AREBW,American Rebel Holdings Inc. Warrants
MNTSW,Momentus Inc. Warrant
NVVEW,Nuvve Holding Corp. Warrant
BSLKW,Bolt Projects Holdings Inc. Warrant
AMRZ,Amrize Ltd Ordinary Shares
RAL,Ralliant Corporation Common Stock
